,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,Date,Time,Age,merch_country,merch_state
1685,3560730000000000.0,fraud_Hamill-D'Amore,health_fitness,24.84,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,16bf2e46c54369a8eab2214649506425,32.575873,-102.60429,1,21/06/2020,22:06,55,United States,Texas
1767,6564460000000000.0,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,ab4b379d2c0c9c667d46508d4e126d72,42.461127,-91.147148,1,21/06/2020,22:32,66,United States,Iowa
1781,6564460000000000.0,fraud_Nienow PLC,entertainment,620.33,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,47a9987ae81d99f7832a54b29a77bf4b,42.771834,-90.158365,1,21/06/2020,22:37,66,United States,Wisconsin
1784,4005680000000000.0,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,fe956c7e4a253c437c18918bf96f7b62,31.204974,-90.261595,1,21/06/2020,22:38,30,United States,Mississippi
1857,3560730000000000.0,fraud_Hermann and Sons,shopping_pos,842.65,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,f6838c01f5d2262006e6b71d33ba7c6d,31.315782,-102.73639,1,21/06/2020,23:02,55,United States,Texas
1891,3524570000000000.0,fraud_Thompson-Gleason,health_fitness,22.55,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,0bac42920027f9b7b3d328bda2709983,28.396402,-80.819469,1,21/06/2020,23:16,38,United States,Florida
1906,4005680000000000.0,fraud_Kuhic LLC,shopping_net,1128.26,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,eb388ceabaf56474808664772b2d5853,30.354797,-91.146131,1,21/06/2020,23:21,30,United States,Louisiana
1956,4005680000000000.0,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,aff46f2741b3501d32b447f842618666,30.761363,-91.7136,1,21/06/2020,23:35,30,United States,Louisiana
1968,4005680000000000.0,"fraud_Kihn, Abernathy and Douglas",shopping_net,983.0,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,8cabf98e58e2b29f7684362fea1f026c,29.902451,-91.749089,1,21/06/2020,23:40,30,United States,Louisiana
2026,6564460000000000.0,fraud_Lemke-Gutmann,shopping_net,955.16,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,1799ffe421a2a05dc87903e379140f55,43.027879,-90.493768,1,21/06/2020,23:59,66,United States,Wisconsin
2039,4005680000000000.0,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,720905fa777ec90291cfd002fd12d67f,30.652786,-90.206798,1,22/06/2020,00:06,30,United States,Louisiana
2173,3524570000000000.0,"fraud_Yost, Block and Koepp",misc_pos,8.39,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,5461e8c92d8b6512c620b2f943ff8ffa,27.059901,-80.32383,1,22/06/2020,01:18,38,United States,Florida
2195,4005680000000000.0,"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,219c46c355f98b732d9a36818c5b8a88,29.784597,-90.671894,1,22/06/2020,01:25,30,United States,Louisiana
2258,3524570000000000.0,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,7220be6f2a92f9c1056d2bcf46c986bd,28.256217,-80.914551,1,22/06/2020,01:54,38,United States,Florida
2467,4005680000000000.0,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,2316b3d5045b9dcba383d5c27031ea4a,30.283263,-90.606406,1,22/06/2020,03:38,30,United States,Louisiana
